Species,Tissue Class,Tissue Type,Cancer,Cell name,Cell marker,Source,Supports,Detail
Human,Pancreas,Pancreatic islet,Normal cell,alpha,TMEM236,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,alpha,TTC39A,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,alpha,TTR,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,alpha,UBQLN1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,alpha,UQCC1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,alpha,VGF,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,alpha,WDR37,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,alpha,YIPF2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,ABI2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,AC009041.1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,ADCYAP1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,AL117190.2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,ALCAM,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,ALOX5,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,AP3B1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,APCDD1L,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,APLP2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,ATP2A3,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,BMP-5,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,BMP5,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,C1orf127,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,C21orf119,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,CADM1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,CAPN13,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,CASR,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,CD72,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,CDH18,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,CDK5R1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,CDKN1C,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,CGRRF1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,CNTN4,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,CRTR1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,CSDE1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,CTSV,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,CYP2U1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,CYYR1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,DLK1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,DLK1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,EDARADD,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,EFCAB14,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,ELMO1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,ELOVL4,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,ENPP4,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,ENTPD3,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,ERO1LB,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,FAM222A,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,FAM76A,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,FFAR1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,G6PC2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,GCC1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,GNAS,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,GPM6A,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,GPSM1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,GREM1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,GUSB,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,GYG1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,HSPD1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,IAPP,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,IGF2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,INS,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,INS,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,KLHDC8A,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,LGMN,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,LRRTM3,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,MAFA,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,MRAP2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,MTSS1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,MXRA7,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,NECAB1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,NKX6-1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,NMRK1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,NPTX2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,NPTX2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,NTPCR,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,OXLD1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,PACAP,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,PCSK1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,PDX1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,PFKFB2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,PFKFB2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,PIGV,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,PIK3IP1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,PIR,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,RAPH1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,RASA4,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,RASA4B,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,RASGRF1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,RBP4,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,RGS16,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,RNF130,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,ROBO2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,RRAGB,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,RRNAD1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SALL2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SCD5,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SEMA5A,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SFTPA1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SGCB,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SGK3,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SIAH1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,SIX2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,SIX3,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SLC25A34,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SLC30A8,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SLC43A2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,SMAD9,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SOCS2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SORL1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SRD5A1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SUSD4,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,SYT13,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,SYT13,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,TBCC,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,TDRP,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,TERF2IP,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,beta,TGFBR3,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,TMEM37,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,TSPAN1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,VAT1L,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,WNT4,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,WSCD2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,ZNF441,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,beta,ZNF776,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,CHE1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,ESE3B,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,ETV1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,GABRG2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,HER4,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,ISL1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,LCORL,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,LEDGF,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,LEPR,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,NEC1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,PDLIM4,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,POU3F1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,PRBP,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,PRG4,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,RGS2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,SFRP3,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,SHARP1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,delta,SST,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,ACE2,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,ductal,AMBP,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,ductal,ANXA4,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,ANXA4,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,BICC1,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,BMP,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,BMPR1A,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,ductal,CFTR,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,CFTR,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,HNF1B,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,KRT19,Experiment,5,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,KRT7,Experiment,1,DETAIL
Human,Pancreas,Pancreatic duct,Normal cell,ductal,KRT7,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,KRT8,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,ductal,MMP7,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,MUC6,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,PDX1,Experiment,2,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,SCTR,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,SLC4A4,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,ductal,SOX9,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,ductal,SOX9,Experiment,2,DETAIL
Human,Pancreas,Pancreas,Normal cell,endothelial,B2M,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,endothelial,CD31,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,endothelial,CD36,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,endothelial,CDH5,Experiment,2,DETAIL
Human,Pancreas,Pancreas,Normal cell,endothelial,CDH5,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,endothelial,CLDN5,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,endothelial,ENG,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,endothelial,FLT1,Experiment,1,DETAIL
Human,Pancreas,Vein,Cancer cell,endothelial,HEV,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,endothelial,KDR,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,endothelial,Pecam1,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,endothelial,PLVAP,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,endothelial,PLVAP,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,endothelial,SLCO2A1,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,endothelial,VWF,Experiment,2,DETAIL
Human,Pancreas,Pancreas,Normal cell,endothelial,VWF,Experiment,2,DETAIL
Human,Pancreas,Pancreas,Normal cell,gamma,PPY,Experiment,2,DETAIL
Human,Pancreas,Pancreas,Normal cell,gamma,SST,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,macrophage,AIF1,Experiment,2,DETAIL
Human,Pancreas,Pancreas,Cancer cell,macrophage,CD14,Experiment,2,DETAIL
Human,Pancreas,Pancreas,Normal cell,macrophage,CD14,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,macrophage,CD163,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,macrophage,CD206,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,macrophage,CD64,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,macrophage,CD68,Experiment,5,DETAIL
Human,Pancreas,Pancreas,Normal cell,macrophage,CD68,Experiment,2,DETAIL
Human,Pancreas,Pancreas,Normal cell,macrophage,CD74,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,macrophage,CD86,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,macrophage,CD86,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,macrophage,CSF1R,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,macrophage,CSF2RA,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,macrophage,FCGR2A,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,macrophage,FCGR3A,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,macrophage,G-CSF,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,macrophage,HLA-DPA1,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,macrophage,HLA-DRA,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,macrophage,HLA-DRB1,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,macrophage,PTPRC,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,macrophage,ZEB2,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,mast,KIT,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,mast,MS4A2,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,mast,TPSAB1,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,schwann,CDH19,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,schwann,CRYAB,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,schwann,PMP22,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,schwann,S100B,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,schwann,SCN7A,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,4-1BB,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,CD2,Experiment,2,DETAIL
Human,Pancreas,Pancreas,Normal cell,t_cell,CD247,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,t_cell,CD3,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,CD3D,Experiment,5,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,CD3E,Experiment,5,DETAIL
Human,Pancreas,Pancreas,Normal cell,t_cell,CD3E,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,CD3G,Experiment,2,DETAIL
Human,Pancreas,Pancreas,Normal cell,t_cell,CD3G,Experiment,2,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,CD4,Experiment,2,DETAIL
Human,Pancreas,Pancreas,Normal cell,t_cell,CD4,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,CD40LG,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,CD45,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,CD6,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,CD69,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,CD8,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,t_cell,CD8,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,CD8A,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,t_cell,CD8A,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,CD8B,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,CXCR4,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,HHLA2,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,t_cell,IL7R,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,LAG-3,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,PD-1,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,SH2D1A,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Normal cell,t_cell,Tcf7,Experiment,1,DETAIL
Human,Pancreas,Pancreas,Cancer cell,t_cell,TIM-3,Experiment,1,DETAIL
